t,soc_batt,V_batt,soc_fgic,V_fgic
117.250000,0.918576,4.015401,0.919044,4.015476
117.500000,0.918403,4.015234,0.919050,4.015555
117.750000,0.918229,4.015068,0.918450,4.014719
118.000000,0.918056,4.014901,0.918424,4.014783
118.250000,0.917882,4.014735,0.918442,4.014837
118.500000,0.917708,4.014568,0.918044,4.014363
118.750000,0.917535,4.014401,0.918054,4.014515
119.000000,0.917361,4.014235,0.918121,4.014681
119.250000,0.917187,4.014068,0.917426,4.013793
119.500000,0.917014,4.013901,0.917209,4.013558
119.750000,0.916840,4.013735,0.917176,4.013511
120.000000,0.916667,4.013568,0.917329,4.013816
120.250000,0.916493,4.013402,0.916948,4.013382
120.500000,0.916319,4.013235,0.917059,4.013588
120.750000,0.916146,4.013068,0.916703,4.013196
121.000000,0.915972,4.012902,0.916812,4.013365
121.250000,0.915799,4.012735,0.916047,4.012317
121.500000,0.915625,4.012569,0.916172,4.012632
121.750000,0.915451,4.012402,0.916157,4.012650
122.000000,0.915278,4.012235,0.915633,4.011970
122.250000,0.915104,4.012069,0.915422,4.011760
122.500000,0.914931,4.011902,0.915607,4.012041
122.750000,0.914757,4.011736,0.915551,4.012077
123.000000,0.914583,4.011569,0.915175,4.011580
123.250000,0.914410,4.011402,0.915109,4.011564
123.500000,0.914236,4.011236,0.914899,4.011270
123.750000,0.914062,4.011069,0.914447,4.010684
124.000000,0.913889,4.010902,0.914438,4.010694
124.250000,0.913715,4.010736,0.914708,4.011223
124.500000,0.913542,4.010569,0.914191,4.010534
124.750000,0.913368,4.010403,0.914272,4.010781
125.000000,0.913194,4.010236,0.914001,4.010529
125.250000,0.913021,4.010069,0.913319,4.009589
125.500000,0.912847,4.009903,0.913645,4.010103
125.750000,0.912674,4.009736,0.913154,4.009442
126.000000,0.912500,4.009570,0.912894,4.009199
126.250000,0.912326,4.009403,0.913179,4.009659
126.500000,0.912153,4.009236,0.912940,4.009425
126.750000,0.911979,4.009070,0.912881,4.009433
127.000000,0.911806,4.008903,0.912432,4.008899
127.250000,0.911632,4.008737,0.912408,4.008968
127.500000,0.911458,4.008570,0.912327,4.008908
127.750000,0.911285,4.008403,0.911961,4.008456
128.000000,0.911111,4.008237,0.911616,4.008083
128.250000,0.910937,4.008070,0.911241,4.007631
128.500000,0.910764,4.007904,0.911223,4.007718
128.750000,0.910590,4.007737,0.910901,4.007296
129.000000,0.910417,4.007570,0.910911,4.007438
129.250000,0.910243,4.007404,0.910985,4.007697
129.500000,0.910069,4.007237,0.910353,4.006811
129.750000,0.909896,4.007070,0.910482,4.007004
130.000000,0.909722,4.006904,0.910001,4.006457
130.250000,0.909549,4.006737,0.910229,4.006799
130.500000,0.909375,4.006571,0.910254,4.006863
130.750000,0.909201,4.006404,0.909690,4.006148
131.000000,0.909028,4.006237,0.909701,4.006306
131.250000,0.908854,4.006071,0.909289,4.005861
131.500000,0.908681,4.005904,0.909292,4.005919
131.750000,0.908507,4.005738,0.909181,4.005761
132.000000,0.908333,4.005571,0.908810,4.005364
132.250000,0.908160,4.005404,0.908659,4.005184
132.500000,0.907986,4.005238,0.908496,4.005087
132.750000,0.907812,4.005071,0.908265,4.004857
133.000000,0.907639,4.004905,0.907921,4.004505
133.250000,0.907465,4.004738,0.907980,4.004719
133.500000,0.907292,4.004571,0.907895,4.004697
133.750000,0.907118,4.004405,0.907778,4.004559
134.000000,0.906944,4.004238,0.907345,4.004050
134.250000,0.906771,4.004072,0.907107,4.003849
134.500000,0.906597,4.003905,0.907051,4.003809
134.750000,0.906424,4.003738,0.906715,4.003416
135.000000,0.906250,4.003572,0.906645,4.003391
135.250000,0.906076,4.003405,0.906730,4.003563
135.500000,0.905903,4.003239,0.906604,4.003473
135.750000,0.905729,4.003072,0.906584,4.003460
136.000000,0.905556,4.002905,0.905927,4.002574
136.250000,0.905382,4.002739,0.906284,4.003119
136.500000,0.905208,4.002572,0.905546,4.002145
136.750000,0.905035,4.002406,0.905388,4.002011
137.000000,0.904861,4.002239,0.905727,4.002499
137.250000,0.904687,4.002072,0.905143,4.001674
137.500000,0.904514,4.001906,0.905330,4.001959
137.750000,0.904340,4.001739,0.904876,4.001396
138.000000,0.904167,4.001573,0.904879,4.001539
138.250000,0.903993,4.001406,0.904514,4.001167
138.500000,0.903819,4.001239,0.904683,4.001516
