t,V_batt,V_fgic
157.500000,4.095611,4.095664
157.750000,4.095619,4.095539
158.000000,4.095627,4.095317
158.250000,4.095635,4.095274
158.500000,4.095643,4.095450
158.750000,4.095650,4.095200
159.000000,4.095657,4.095703
159.250000,4.095664,4.096115
159.500000,4.095670,4.095275
159.750000,4.095677,4.095936
160.000000,4.095683,4.095770
160.250000,4.095688,4.095588
160.500000,4.095694,4.095682
160.750000,4.095699,4.095911
161.000000,4.095704,4.095232
161.250000,4.095709,4.096087
161.500000,4.095714,4.096124
161.750000,4.095719,4.095330
162.000000,4.095723,4.095700
162.250000,4.095727,4.095469
162.500000,4.095731,4.095347
162.750000,4.095735,4.095920
163.000000,4.095739,4.096232
163.250000,4.095743,4.095389
163.500000,4.095746,4.096127
163.750000,4.095749,4.095439
164.000000,4.095753,4.095963
164.250000,4.095756,4.095970
164.500000,4.095759,4.096101
164.750000,4.095762,4.095892
165.000000,4.095764,4.096141
165.250000,4.095767,4.095392
165.500000,4.095770,4.096055
165.750000,4.095772,4.095310
166.000000,4.095774,4.095285
166.250000,4.095777,4.096278
166.500000,4.095779,4.095327
166.750000,4.095781,4.095968
167.000000,4.095783,4.096143
167.250000,4.095785,4.095946
167.500000,4.095787,4.096126
167.750000,4.095788,4.096262
168.000000,4.095790,4.095743
168.250000,4.095792,4.096047
168.500000,4.095793,4.095876
168.750000,4.095795,4.096247
169.000000,4.095796,4.096027
169.250000,4.095798,4.096116
169.500000,4.095799,4.095617
169.750000,4.095800,4.095996
170.000000,4.095802,4.095484
170.250000,4.095803,4.096187
170.500000,4.095804,4.095780
170.750000,4.095805,4.096246
171.000000,4.095806,4.095720
171.250000,4.095807,4.096075
171.500000,4.095808,4.095490
171.750000,4.095809,4.095666
172.000000,4.095810,4.096308
172.250000,4.095811,4.096247
172.500000,4.095812,4.096104
172.750000,4.095813,4.095745
173.000000,4.095814,4.096285
173.250000,4.095814,4.095500
173.500000,4.095815,4.095418
173.750000,4.095816,4.096041
174.000000,4.095816,4.095358
174.250000,4.095817,4.095408
174.500000,4.095818,4.095870
174.750000,4.095818,4.095592
175.000000,4.095819,4.096227
175.250000,4.095819,4.095604
175.500000,4.095820,4.095687
175.750000,4.095820,4.095918
176.000000,4.095821,4.096045
176.250000,4.095821,4.095638
176.500000,4.095822,4.095640
176.750000,4.095822,4.095771
177.000000,4.095823,4.095840
177.250000,4.095823,4.096155
177.500000,4.095823,4.095400
177.750000,4.095824,4.095749
178.000000,4.095824,4.096075
178.250000,4.095825,4.095844
178.500000,4.095825,4.095986
178.750000,4.095825,4.095906
179.000000,4.095826,4.095361
179.250000,4.095826,4.095524
179.500000,4.095826,4.095742
179.750000,4.095826,4.096002
180.000000,4.095827,4.096230
180.250000,4.095827,4.096207
180.500000,4.095827,4.095357
180.750000,4.095827,4.095639
181.000000,4.095828,4.096231
181.250000,4.095828,4.096226
181.500000,4.095828,4.095338
181.750000,4.095828,4.095600
182.000000,4.095828,4.096092
182.250000,4.095829,4.095356
182.500000,4.095829,4.095657
182.750000,4.095829,4.095893
183.000000,4.095829,4.096337
183.250000,4.095829,4.095346
183.500000,4.095829,4.095508
183.750000,4.095830,4.095538
184.000000,4.095830,4.095741
184.250000,4.095830,4.095427
184.500000,4.095830,4.096034
184.750000,4.095830,4.096069
185.000000,4.095830,4.095354
185.250000,4.095830,4.095956
185.500000,4.095830,4.096290
185.750000,4.095831,4.096096
186.000000,4.095831,4.095884
186.250000,4.095831,4.096305
186.500000,4.095831,4.095929
186.750000,4.095831,4.095782
187.000000,4.095831,4.096053
187.250000,4.095831,4.096147
187.500000,4.095831,4.095731
187.750000,4.095831,4.095697
188.000000,4.095831,4.095916
188.250000,4.095831,4.095407
188.500000,4.095831,4.095472
188.750000,4.095832,4.096005
189.000000,4.095832,4.095893
189.250000,4.095832,4.096138
189.500000,4.095832,4.096000
189.750000,4.095832,4.096232
190.000000,4.095832,4.095854
190.250000,4.095832,4.096182
190.500000,4.095832,4.095772
190.750000,4.095832,4.095620
191.000000,4.095832,4.095733
191.250000,4.095832,4.096279
191.500000,4.095832,4.095458
191.750000,4.095832,4.095670
192.000000,4.095832,4.096003
192.250000,4.095832,4.096150
192.500000,4.095832,4.095840
192.750000,4.095832,4.096087
193.000000,4.095832,4.095506
193.250000,4.095832,4.096045
193.500000,4.095832,4.095461
193.750000,4.095832,4.096297
194.000000,4.095833,4.095516
194.250000,4.095833,4.095707
194.500000,4.095833,4.096310
194.750000,4.095833,4.096037
195.000000,4.095833,4.095694
195.250000,4.095833,4.095671
195.500000,4.095833,4.096324
195.750000,4.095833,4.096229
196.000000,4.095833,4.095451
196.250000,4.095833,4.096121
196.500000,4.095833,4.095901
196.750000,4.095833,4.095344
197.000000,4.095833,4.096245
197.250000,4.095833,4.096262
197.500000,4.095833,4.096286
197.750000,4.095833,4.095829
198.000000,4.095833,4.095730
198.250000,4.095833,4.095421
198.500000,4.095833,4.096177
198.750000,4.095833,4.095390
199.000000,4.095833,4.095998
199.250000,4.095833,4.096115
199.500000,4.095833,4.096070
199.750000,4.095833,4.095523
200.000000,4.095833,4.096282
200.250000,4.095833,4.095846
200.500000,4.095833,4.095958
200.750000,4.095833,4.095782
201.000000,4.095833,4.096021
201.250000,4.095833,4.095793
201.500000,4.095833,4.096053
201.750000,4.095833,4.095974
202.000000,4.095833,4.095920
202.250000,4.095833,4.095859
202.500000,4.095833,4.095484
202.750000,4.095833,4.096147
203.000000,4.095833,4.096176
203.250000,4.095833,4.095552
203.500000,4.095833,4.096163
203.750000,4.095833,4.096116
204.000000,4.095833,4.096189
204.250000,4.095833,4.095942
204.500000,4.095833,4.095375
204.750000,4.095833,4.095390
205.000000,4.095833,4.095906
205.250000,4.095833,4.095868
205.500000,4.095833,4.095761
205.750000,4.095833,4.095973
206.000000,4.095833,4.095582
206.250000,4.095833,4.095422
206.500000,4.095833,4.095540
206.750000,4.095833,4.095590
207.000000,4.095833,4.095346
207.250000,4.095833,4.095533
207.500000,4.095833,4.096332
207.750000,4.095833,4.095682
208.000000,4.095833,4.096087
208.250000,4.095833,4.096159
208.500000,4.095833,4.096340
208.750000,4.095833,4.096306
209.000000,4.095833,4.095508
209.250000,4.095833,4.095656
209.500000,4.095833,4.095380
209.750000,4.095833,4.096258
210.000000,4.095833,4.095806
210.250000,4.095833,4.096164
210.500000,4.095833,4.096136
210.750000,4.095833,4.095556
211.000000,4.095833,4.095631
211.250000,4.095833,4.096182
211.500000,4.095833,4.095982
211.750000,4.095833,4.095876
212.000000,4.095833,4.095463
212.250000,4.095833,4.095776
212.500000,4.095833,4.095861
212.750000,4.095833,4.096281
213.000000,4.095833,4.095560
213.250000,4.095833,4.096118
213.500000,4.095833,4.095583
213.750000,4.095833,4.096196
214.000000,4.095833,4.096034
214.250000,4.095833,4.096295
214.500000,4.095833,4.096225
214.750000,4.095833,4.095826
215.000000,4.095833,4.096290
215.250000,4.095833,4.095603
215.500000,4.095833,4.096107
215.750000,4.095833,4.095543
216.000000,4.095833,4.095728
216.250000,4.095833,4.095659
216.500000,4.095833,4.096299
216.750000,4.095833,4.095812
217.000000,4.095833,4.095512
217.250000,4.095833,4.095435
217.500000,4.095833,4.095496
217.750000,4.095833,4.096159
218.000000,4.095833,4.096243
218.250000,4.095833,4.095542
218.500000,4.095833,4.096269
218.750000,4.095833,4.095710
219.000000,4.095833,4.095705
219.250000,4.095833,4.095892
219.500000,4.095833,4.095804
219.750000,4.095833,4.095561
