t,I_batt,Tau_batt,Tau_fgic,C1_batt,C1_fgic
90.500000,2.000000,6.626361,6.626544,1550.281528,1550.776902
90.750000,2.000000,6.626416,6.626917,1550.420427,1551.724426
91.000000,2.000000,6.626471,6.626694,1550.559326,1551.160097
91.250000,2.000000,6.626526,6.626891,1550.698226,1551.659581
91.500000,2.000000,6.626582,6.626753,1550.837125,1551.308551
91.750000,2.000000,6.626636,6.627706,1550.976024,1553.769264
92.000000,2.000000,6.626691,6.627437,1551.114923,1553.066475
92.250000,2.000000,6.626746,6.627416,1551.253823,1553.012064
92.500000,2.000000,6.626801,6.628048,1551.392722,1554.669850
92.750000,2.000000,6.626855,6.627561,1551.531621,1553.390439
93.000000,2.000000,6.626910,6.627722,1551.670520,1553.812106
93.250000,2.000000,6.626964,6.628097,1551.809419,1554.802375
93.500000,2.000000,6.627018,6.628173,1551.948319,1555.003213
93.750000,2.000000,6.627072,6.628065,1552.087218,1554.717464
94.000000,2.000000,6.627126,6.628132,1552.226117,1554.894459
94.250000,2.000000,6.627180,6.627468,1552.365016,1553.146051
94.500000,2.000000,6.627234,6.628016,1552.503916,1554.585779
94.750000,2.000000,6.627288,6.627416,1552.642815,1553.010428
95.000000,2.000000,6.627342,6.628482,1552.781714,1555.831622
95.250000,2.000000,6.627395,6.627707,1552.920613,1553.772790
95.500000,2.000000,6.627449,6.627942,1553.059512,1554.394257
95.750000,2.000000,6.627502,6.628590,1553.198412,1556.127613
96.000000,2.000000,6.627555,6.628202,1553.337311,1555.085593
96.250000,2.000000,6.627609,6.628786,1553.476210,1556.659793
96.500000,2.000000,6.627662,6.628607,1553.615109,1556.174989
96.750000,2.000000,6.627715,6.628471,1553.754009,1555.805359
97.000000,2.000000,6.627768,6.628866,1553.892908,1556.877483
97.250000,2.000000,6.627820,6.627923,1554.031807,1554.344692
97.500000,2.000000,6.627873,6.627976,1554.170706,1554.482767
97.750000,2.000000,6.627926,6.628079,1554.309605,1554.755239
98.000000,2.000000,6.627978,6.628196,1554.448505,1555.066867
98.250000,2.000000,6.628031,6.628430,1554.587404,1555.694165
98.500000,2.000000,6.628083,6.629187,1554.726303,1557.759103
98.750000,2.000000,6.628135,6.628295,1554.865202,1555.330850
